12c00000-13580000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
72c73000-72c86000 r--p 00000000 fd:06 29530997                           /system/framework/arm64/boot-featurelayer-widget.oat
72c86000-72cc7000 r-xp 00013000 fd:06 29530997                           /system/framework/arm64/boot-featurelayer-widget.oat
72cc7000-72cc8000 rw-p 00000000 00:00 0                                  [anon:.bss]
72cc8000-72cc9000 r--s 00000000 fd:06 29572315                           /system/framework/boot-featurelayer-widget.vdex
72cc9000-72cca000 r--p 00054000 fd:06 29530997                           /system/framework/arm64/boot-featurelayer-widget.oat
72cca000-72ccb000 rw-p 00055000 fd:06 29530997                           /system/framework/arm64/boot-featurelayer-widget.oat
72ccb000-72cf5000 r--p 00000000 fd:06 29689449                           /system/framework/arm64/boot-hwEmui.oat
72cf5000-72d71000 r-xp 0002a000 fd:06 29689449                           /system/framework/arm64/boot-hwEmui.oat
72d71000-72d72000 rw-p 00000000 00:00 0                                  [anon:.bss]
72d72000-72d74000 r--s 00000000 fd:06 29767526                           /system/framework/boot-hwEmui.vdex
72d74000-72d75000 r--p 000a6000 fd:06 29689449                           /system/framework/arm64/boot-hwEmui.oat
72d75000-72d76000 rw-p 000a7000 fd:06 29689449                           /system/framework/arm64/boot-hwEmui.oat
72d76000-72d7e000 r--p 00000000 fd:06 29711475                           /system/framework/arm64/boot-hwPartBasicplatform.oat
72d7e000-72d97000 r-xp 00008000 fd:06 29711475                           /system/framework/arm64/boot-hwPartBasicplatform.oat
72d97000-72d98000 rw-p 00000000 00:00 0                                  [anon:.bss]
72d98000-72d99000 r--s 00000000 fd:06 29767540                           /system/framework/boot-hwPartBasicplatform.vdex
72d99000-72d9a000 r--p 00021000 fd:06 29711475                           /system/framework/arm64/boot-hwPartBasicplatform.oat
72d9a000-72d9b000 rw-p 00022000 fd:06 29711475                           /system/framework/arm64/boot-hwPartBasicplatform.oat
72d9b000-72d9d000 r--p 00000000 fd:06 29705322                           /system/framework/arm64/boot-telephony-separated.oat
72d9d000-72d9e000 r-xp 00002000 fd:06 29705322                           /system/framework/arm64/boot-telephony-separated.oat
72d9e000-72d9f000 rw-p 00000000 00:00 0                                  [anon:.bss]
72d9f000-72da0000 r--s 00000000 fd:06 29840247                           /system/framework/boot-telephony-separated.vdex
72da0000-72da1000 r--p 00003000 fd:06 29705322                           /system/framework/arm64/boot-telephony-separated.oat
72da1000-72da2000 rw-p 00004000 fd:06 29705322                           /system/framework/arm64/boot-telephony-separated.oat
72da2000-72da6000 r--p 00000000 fd:06 29814124                           /system/framework/arm64/boot-hwTelephony-common.oat
72da6000-72dae000 r-xp 00004000 fd:06 29814124                           /system/framework/arm64/boot-hwTelephony-common.oat
72dae000-72daf000 rw-p 00000000 00:00 0                                  [anon:.bss]
72daf000-72db0000 r--s 00000000 fd:06 29839972                           /system/framework/boot-hwTelephony-common.vdex
72db0000-72db1000 r--p 0000c000 fd:06 29814124                           /system/framework/arm64/boot-hwTelephony-common.oat
72db1000-72db2000 rw-p 0000d000 fd:06 29814124                           /system/framework/arm64/boot-hwTelephony-common.oat
72db2000-72db6000 r--p 00000000 fd:06 29703419                           /system/framework/arm64/boot-hwPartTelephony.oat
72db6000-72dc1000 r-xp 00004000 fd:06 29703419                           /system/framework/arm64/boot-hwPartTelephony.oat
72dc1000-72dc2000 rw-p 00000000 00:00 0                                  [anon:.bss]
72dc2000-72dc3000 r--s 00000000 fd:06 29786084                           /system/framework/boot-hwPartTelephony.vdex
72dc3000-72dc4000 r--p 0000f000 fd:06 29703419                           /system/framework/arm64/boot-hwPartTelephony.oat
72dc4000-72dc5000 rw-p 00010000 fd:06 29703419                           /system/framework/arm64/boot-hwPartTelephony.oat
72dc5000-72dc8000 r--p 00000000 fd:06 29793775                           /system/framework/arm64/boot-hwPartTelephonyVSim.oat
72dc8000-72dcc000 r-xp 00003000 fd:06 29793775                           /system/framework/arm64/boot-hwPartTelephonyVSim.oat
72dcc000-72dcd000 rw-p 00000000 00:00 0                                  [anon:.bss]
72dcd000-72dce000 r--s 00000000 fd:06 29838707                           /system/framework/boot-hwPartTelephonyVSim.vdex
72dce000-72dcf000 r--p 00007000 fd:06 29793775                           /system/framework/arm64/boot-hwPartTelephonyVSim.oat
72dcf000-72dd0000 rw-p 00008000 fd:06 29793775                           /system/framework/arm64/boot-hwPartTelephonyVSim.oat
72dd0000-72dd2000 r--p 00000000 fd:06 29749490                           /system/framework/arm64/boot-hwPartTelephonyCust.oat
72dd2000-72dd3000 r-xp 00002000 fd:06 29749490                           /system/framework/arm64/boot-hwPartTelephonyCust.oat
72dd3000-72dd4000 rw-p 00000000 00:00 0                                  [anon:.bss]
72dd4000-72dd5000 r--s 00000000 fd:06 29786091                           /system/framework/boot-hwPartTelephonyCust.vdex
72dd5000-72dd6000 r--p 00003000 fd:06 29749490                           /system/framework/arm64/boot-hwPartTelephonyCust.oat
72dd6000-72dd7000 rw-p 00004000 fd:06 29749490                           /system/framework/arm64/boot-hwPartTelephonyCust.oat
72dd7000-72dda000 r--p 00000000 fd:06 29749500                           /system/framework/arm64/boot-hwPartTelephonyFullnetworkOpt.oat
72dda000-72ddf000 r-xp 00003000 fd:06 29749500                           /system/framework/arm64/boot-hwPartTelephonyFullnetworkOpt.oat
72ddf000-72de0000 rw-p 00000000 00:00 0                                  [anon:.bss]
72de0000-72de1000 r--s 00000000 fd:06 29786095                           /system/framework/boot-hwPartTelephonyFullnetworkOpt.vdex
72de1000-72de2000 r--p 00008000 fd:06 29749500                           /system/framework/arm64/boot-hwPartTelephonyFullnetworkOpt.oat
72de2000-72de3000 rw-p 00009000 fd:06 29749500                           /system/framework/arm64/boot-hwPartTelephonyFullnetworkOpt.oat
72de3000-72de5000 r--p 00000000 fd:06 29789691                           /system/framework/arm64/boot-hwPartTelephonyTimezoneOpt.oat
72de5000-72de6000 r-xp 00002000 fd:06 29789691                           /system/framework/arm64/boot-hwPartTelephonyTimezoneOpt.oat
72de6000-72de7000 r--s 00000000 fd:06 29786102                           /system/framework/boot-hwPartTelephonyTimezoneOpt.vdex
72de7000-72de8000 r--p 00003000 fd:06 29789691                           /system/framework/arm64/boot-hwPartTelephonyTimezoneOpt.oat
72de8000-72de9000 rw-p 00004000 fd:06 29789691                           /system/framework/arm64/boot-hwPartTelephonyTimezoneOpt.oat
72de9000-72def000 r--p 00000000 fd:06 29789681                           /system/framework/arm64/boot-hwPartTelephonyOpt.oat
72def000-72dfb000 r-xp 00006000 fd:06 29789681                           /system/framework/arm64/boot-hwPartTelephonyOpt.oat
72dfb000-72dfc000 rw-p 00000000 00:00 0                                  [anon:.bss]
72dfc000-72dfd000 r--s 00000000 fd:06 29838692                           /system/framework/boot-hwPartTelephonyOpt.vdex
72dfd000-72dfe000 r--p 00012000 fd:06 29789681                           /system/framework/arm64/boot-hwPartTelephonyOpt.oat
72dfe000-72dff000 rw-p 00013000 fd:06 29789681                           /system/framework/arm64/boot-hwPartTelephonyOpt.oat
72dff000-72e0c000 r--p 00000000 fd:06 29703405                           /system/framework/arm64/boot-hwPartSecurity.oat
72e0c000-72e21000 r-xp 0000d000 fd:06 29703405                           /system/framework/arm64/boot-hwPartSecurity.oat
72e21000-72e22000 rw-p 00000000 00:00 0                                  [anon:.bss]
72e22000-72e23000 r--s 00000000 fd:06 35254656                           /system/framework/boot-hwPartSecurity.vdex
72e23000-72e24000 r--p 00022000 fd:06 29703405                           /system/framework/arm64/boot-hwPartSecurity.oat
72e24000-72e25000 rw-p 00023000 fd:06 29703405                           /system/framework/arm64/boot-hwPartSecurity.oat
72e25000-72e27000 r--p 00000000 fd:06 29703413                           /system/framework/arm64/boot-hwPartSecurityFaceId.oat
72e27000-72e28000 r-xp 00002000 fd:06 29703413                           /system/framework/arm64/boot-hwPartSecurityFaceId.oat
72e28000-72e29000 r--s 00000000 fd:06 29770748                           /system/framework/boot-hwPartSecurityFaceId.vdex
72e29000-72e2a000 r--p 00003000 fd:06 29703413                           /system/framework/arm64/boot-hwPartSecurityFaceId.oat
72e2a000-72e2b000 rw-p 00004000 fd:06 29703413                           /system/framework/arm64/boot-hwPartSecurityFaceId.oat
72e2b000-72e2d000 r--p 00000000 fd:06 29545846                           /system/framework/arm64/boot-hwIms-common.oat
72e2d000-72e2e000 r--s 00000000 fd:06 29760636                           /system/framework/boot-hwIms-common.vdex
